Time,WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
10,25,87,4,16505,13,8.681,23.84615385,0.651075
11,25,89,2,16505,14,8.2984,25.38461538,0.62238
12,25,92,3,16505,14,7.9158,27.69230769,0.593685
13,25,92,0,17159,14,7.857,27.69230769,0.589275
14,25,94,2,17159,14,8.1219,29.23076923,0.6091425
15,25,95,1,17159,14,8.3868,30,0.62901
16,25,95,0,18467,14,8.5199,30,0.6389925
17,25,95,0,18467,15,8.2352,30,0.61764
18,25,94,-1,18467,15,7.9505,29.23076923,0.5962875
19,25,92,-2,18294,15,7.6782,27.69230769,0.575865
20,25,89,-3,18294,15,8.015,25.38461538,0.601125
21,25,88,-1,18294,16,8.3518,24.61538462,0.626385
22,25,86,-2,21485,16,8.6887,23.07692308,0.6516525
23,25,85,-1,21485,17,9.0629,22.30769231,0.6797175
24,25,83,-2,21485,17,9.4664,20.76923077,0.70998
25,25,83,0,21485,18,9.8699,20.76923077,0.7402425
26,25,81,-2,23344,18,10.222,19.23076923,0.76665
27,25,81,0,23344,18,9.987,19.23076923,0.749025
28,25,81,0,23344,17,9.7516,19.23076923,0.73137
29,25,82,1,23344,17,9.5162,20,0.713715
30,25,84,2,22572,17,9.2809,21.53846154,0.6960675
31,200,86,2,22572,17,10.407,23.07692308,0.780525
32,200,89,3,22572,17,12.369,25.38461538,0.927675
33,200,91,2,21824,17,12.199,26.92307692,0.914925
34,200,92,1,21824,17,9.3173,27.69230769,0.6987975
35,200,94,2,22801,17,6.4357,29.23076923,0.4826775
36,200,95,1,22801,18,5.9302,30,0.444765
37,200,96,1,22801,18,6.8809,30.76923077,0.5160675
38,200,97,1,22801,19,7.8315,31.53846154,0.5873625
39,200,97,0,22328,18,8.7027,31.53846154,0.6527025
40,200,98,1,22328,18,9.2556,32.30769231,0.69417
41,200,99,1,22328,18,9.8085,33.07692308,0.7356375
42,200,99,0,22328,18,10.361,33.07692308,0.777075
43,200,100,1,27158,18,10.914,33.84615385,0.81855
44,200,102,2,27158,18,11.467,35.38461538,0.860025
45,200,103,1,27158,17,12.02,36.15384615,0.9015
46,200,104,1,27158,17,12.528,36.92307692,0.9396
47,200,106,2,27158,17,13.013,38.46153846,0.975975
48,200,107,1,27158,17,13.497,39.23076923,1.012275
49,200,109,2,25976,17,13.982,40.76923077,1.04865
50,200,110,1,25976,16,13.71,41.53846154,1.02825
51,200,112,2,25976,16,13.438,43.07692308,1.00785
