Time,WR,HR,VE,BF,VO2rel,HRR,VO2,Unnamed: 8,Unnamed: 9,Unnamed: 10
13,25.0,105,16861.273999999998,13,10.182622886754901,37.69230769,0.763696716254902,,,
14,25.0,104,16861.273999999998,13,10.079523988102942,36.92307692,0.7559642988529411,,,
15,25.0,103,16861.273999999998,13,9.97642508945098,36.15384615,0.7482318814509804,,,
16,25.0,103,18337.093999999997,13,9.87332619079902,36.15384615,0.7404994640490196,,,
17,25.0,103,18337.093999999997,14,9.85433013816055,36.15384615,0.7390747601009174,,,
18,25.0,103,18337.093999999997,14,9.926445502036698,36.15384615,0.7444834123944954,,,
19,25.0,103,18337.093999999997,14,9.998560865912845,36.15384615,0.7498920646880733,,,
20,25.0,103,19476.755,14,10.070676229788992,36.15384615,0.7553007169816514,,,
21,25.0,101,19476.755,14,10.122422562366667,34.61538462,0.7591816919333333,,,
22,25.0,100,19476.755,14,10.024795998755556,33.84615385,0.7518596997111111,,,
23,25.0,97,19476.755,14,9.927169435144446,31.53846154,0.7445377074888889,,,
24,25.0,96,19476.755,14,9.829542871533334,30.76923077,0.7372157152666667,,,
25,25.0,94,20608.217,14,9.782682121,29.23076923,0.7337011590000001,,,
26,25.0,93,20608.217,14,9.782682121,28.46153846,0.7337011590000001,,,
27,25.0,92,20608.217,14,9.782682121,27.69230769,0.7337011590000001,,,
28,25.0,91,20608.217,14,9.782682121,26.92307692,0.7337011590000001,,,
29,25.0,91,21272.336,14,9.782682121,26.92307692,0.7337011590000001,,,
30,25.0,92,21272.336,14,9.782682121,27.69230769,0.7337011590000001,,,
31,25.0,93,21272.336,14,9.782682121,28.46153846,0.7337011590000001,,,
32,25.0,94,21272.336,14,9.782682121,29.23076923,0.7337011590000001,,,
33,25.0,94,20559.023,14,9.8128068892,29.23076923,0.7359605166000001,,,
34,25.0,94,20559.023,14,9.88453252777143,29.23076923,0.7413399394571429,,,
35,25.0,94,20559.023,14,9.956258166342858,29.23076923,0.7467193623142857,,,
36,25.0,94,20559.023,13,10.027983804914287,29.23076923,0.7520987851714286,,,
37,25.0,94,20559.023,13,10.099709443485715,29.23076923,0.7574782080285714,,,
38,25.0,94,20747.6,14,10.165617244747475,29.23076923,0.7624212931717171,,,
39,25.0,94,20747.6,14,10.226154734646466,29.23076923,0.766961605040404,,,
40,25.0,93,20747.6,14,10.286692224545455,28.46153846,0.7715019169090909,,,
41,25.0,93,21477.311,14,10.347229714444444,28.46153846,0.7760422287777777,,,
42,25.0,93,21477.311,14,10.37386621,28.46153846,0.7780399659999999,,,
43,25.0,93,21477.311,14,10.37386621,28.46153846,0.7780399659999999,,,
44,25.0,94,21477.311,14,10.37386621,29.23076923,0.7780399659999999,,,
45,25.0,94,21477.311,14,10.37386621,29.23076923,0.7780399659999999,,,
46,25.0,94,21460.912999999997,14,10.357749893823529,29.23076923,0.7768312422745097,,,
47,25.0,94,21460.912999999997,14,10.277168312941175,29.23076923,0.7707876236470588,,,
48,25.0,93,21460.912999999997,14,10.196586732058822,28.46153846,0.7647440050196078,,,
49,25.0,93,21460.912999999997,14,10.11600515117647,28.46153846,0.7587003863921569,,,
50,25.0,93,21764.276,14,10.04509336,28.46153846,0.753382002,,,
51,25.0,93,21764.276,14,10.04509336,28.46153846,0.753382002,,,
52,25.0,93,21764.276,14,10.04509336,28.46153846,0.753382002,,,
53,25.0,92,21157.55,14,10.04509336,27.69230769,0.753382002,,,
54,25.0,92,21157.55,14,9.940871543351648,27.69230769,0.7455653657362639,,,
55,25.0,91,21157.55,14,9.70400377824176,26.92307692,0.7278002833186814,,,
56,25.0,89,21157.55,15,9.467136013131869,25.38461538,0.710035200901099,,,
57,25.0,88,20780.396,15,9.230268248021979,24.61538462,0.6922701184835166,,,
58,25.0,88,20780.396,15,9.182894695,24.61538462,0.688717102,,,
59,25.0,87,20780.396,14,9.182894695,23.84615385,0.688717102,,,
60,25.0,87,20780.396,14,9.182894695,23.84615385,0.688717102,,,
61,25.0,86,19919.501,15,9.182894695,23.07692308,0.688717102,,,
62,25.0,86,19919.501,15,9.131791531355931,23.07692308,0.6848843647966102,,,
63,25.0,85,19919.501,15,9.075010238418079,22.30769231,0.6806257679039549,,,
64,25.0,84,19919.501,15,9.018228945480226,21.53846154,0.6763671710112995,,,
65,25.0,83,20583.62,15,8.97895435128251,20.76923077,0.6734215764618835,,,
66,25.0,83,20583.62,15,8.970802777067265,20.76923077,0.6728102083004486,,,
67,25.0,82,20583.62,15,8.962651202852017,20.0,0.6721988401390135,,,
68,25.0,82,20583.62,16,8.954499628636771,20.0,0.6715874719775785,,,
69,25.0,83,19255.381999999998,15,8.946348054421524,20.76923077,0.6709761038161436,,,
70,25.0,83,19255.381999999998,15,8.945532897,20.76923077,0.6709149670000001,,,
71,25.0,83,19255.381999999998,15,8.945532897,20.76923077,0.6709149670000001,,,
72,25.0,84,18599.462,15,8.945532897,21.53846154,0.6709149670000001,,,
73,25.0,83,18599.462,15,8.953995894474861,20.76923077,0.6715496918156426,,,
74,25.0,83,18599.462,15,9.165570831346368,20.76923077,0.687417812206704,,,
75,25.0,83,18599.462,16,9.377145768217877,20.76923077,0.7032859325977654,,,
76,25.0,84,18476.477,16,9.588720705089385,21.53846154,0.7191540529888267,,,
77,25.0,85,18476.477,16,9.69923382725,22.30769231,0.72744253725,,,
78,25.0,85,18476.477,16,9.691109166923914,22.30769231,0.7268331877934783,,,
79,25.0,86,18476.477,16,9.682984506597826,23.07692308,0.7262238383369565,,,
80,25.0,86,18599.462,16,9.67485984627174,23.07692308,0.7256144888804348,,,
81,25.0,86,18599.462,16,9.673072421,23.07692308,0.725480432,,,
82,25.0,86,18599.462,16,9.673072421,23.07692308,0.725480432,,,
83,25.0,86,18599.462,15,9.673072421,23.07692308,0.725480432,,,
84,25.0,85,18599.462,15,9.673072421,22.30769231,0.725480432,,,
85,25.0,84,18599.462,15,9.673072421,21.53846154,0.725480432,,,
86,25.0,83,19337.372,15,9.673072421,20.76923077,0.725480432,,,
87,25.0,82,19337.372,15,9.673072421,20.0,0.725480432,,,
88,25.0,83,19337.372,15,9.673072421,20.76923077,0.725480432,,,
89,25.0,84,19337.372,14,9.673072421,21.53846154,0.725480432,,,
90,25.0,84,19337.372,14,9.673072421,21.53846154,0.725480432,,,
91,25.0,83,19337.372,14,9.673072421,20.76923077,0.725480432,,,
